ID,Country,Year,Attack Type,Target Industry,Financial Loss ($M),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Used,Resolution Time (Hr)
CBS-1,China,2019,Phishing,Education,80.5,773169,Hacker Group,Unpatched Software,VPN,63
CBS-2,China,2019,Ransomware,Retail,62.2,295961,Hacker Group,Unpatched Software,Firewall,71
CBS-3,India,2017,Man-in-the-Middle,IT,38.7,605895,Hacker Group,Weak Passwords,VPN,20
CBS-4,UK,2024,Ransomware,Telecommunications,41.4,659320,Nation-state,Social Engineering,AI-based Detection,7
CBS-5,Germany,2018,Man-in-the-Middle,IT,74.4,810682,Insider,Social Engineering,VPN,68
CBS-6,Germany,2017,Man-in-the-Middle,Retail,98.2,285201,Unknown,Social Engineering,Antivirus,25
CBS-7,Germany,2016,DDoS,Telecommunications,33.3,431262,Insider,Unpatched Software,VPN,34
CBS-8,France,2018,SQL Injection,Government,59.2,909991,Unknown,Social Engineering,Antivirus,66
CBS-9,India,2016,Man-in-the-Middle,Banking,16.9,698249,Unknown,Social Engineering,VPN,47
CBS-10,UK,2023,DDoS,Healthcare,69.1,685927,Hacker Group,Unpatched Software,Firewall,58
CBS-11,China,2019,Phishing,Telecommunications,88.7,493675,Unknown,Zero-day,VPN,29
CBS-12,China,2016,SQL Injection,Healthcare,38.8,920768,Hacker Group,Unpatched Software,AI-based Detection,27
CBS-13,India,2019,Ransomware,Education,30.6,583204,Insider,Zero-day,Firewall,37
CBS-14,France,2023,DDoS,Healthcare,58.4,599797,Nation-state,Unpatched Software,AI-based Detection,35
CBS-15,France,2024,DDoS,IT,48.0,922258,Unknown,Social Engineering,Encryption,64
CBS-16,Australia,2022,Phishing,Banking,64.3,120789,Nation-state,Zero-day,Encryption,36
CBS-17,Russia,2017,Man-in-the-Middle,Healthcare,13.0,850158,Hacker Group,Unpatched Software,AI-based Detection,67
CBS-18,India,2015,DDoS,IT,93.1,805278,Insider,Social Engineering,Encryption,56
CBS-19,UK,2019,Malware,Telecommunications,14.0,578443,Insider,Social Engineering,Firewall,28
CBS-20,India,2016,DDoS,IT,36.5,261808,Nation-state,Social Engineering,AI-based Detection,6
CBS-21,Brazil,2015,Ransomware,Retail,49.6,920172,Hacker Group,Weak Passwords,Antivirus,43
CBS-22,France,2023,Ransomware,Education,17.7,261661,Insider,Social Engineering,VPN,11
CBS-23,India,2017,DDoS,Government,76.7,246205,Nation-state,Unpatched Software,Firewall,30
CBS-24,Japan,2022,Phishing,Telecommunications,20.4,186148,Nation-state,Weak Passwords,Antivirus,32
CBS-25,Brazil,2023,DDoS,Telecommunications,51.8,699007,Hacker Group,Social Engineering,VPN,30
CBS-26,China,2021,Phishing,Retail,51.1,628562,Insider,Zero-day,AI-based Detection,52
CBS-27,Japan,2022,Malware,Education,53.0,570494,Nation-state,Unpatched Software,VPN,53
CBS-28,Japan,2022,Ransomware,Banking,26.2,937653,Insider,Unpatched Software,Encryption,24
CBS-29,France,2020,Malware,IT,87.3,599757,Unknown,Social Engineering,Antivirus,9
CBS-30,Australia,2015,DDoS,Government,82.7,904805,Hacker Group,Zero-day,Encryption,61
CBS-31,UK,2022,SQL Injection,Education,66.2,678876,Hacker Group,Social Engineering,AI-based Detection,11
CBS-32,France,2020,Malware,Telecommunications,18.4,246900,Hacker Group,Zero-day,AI-based Detection,34
CBS-33,India,2015,SQL Injection,IT,43.0,85255,Unknown,Unpatched Software,Encryption,61
CBS-34,Japan,2022,Phishing,Banking,98.5,972469,Nation-state,Zero-day,Antivirus,21
CBS-35,Brazil,2023,Phishing,Healthcare,14.5,113777,Nation-state,Weak Passwords,VPN,27
CBS-36,Brazil,2020,Phishing,Banking,17.8,739540,Hacker Group,Zero-day,Encryption,31
CBS-37,China,2020,Man-in-the-Middle,Education,19.8,722788,Nation-state,Zero-day,Firewall,70
CBS-38,Japan,2021,SQL Injection,Retail,82.5,214372,Insider,Unpatched Software,Encryption,12
CBS-39,USA,2022,DDoS,Retail,32.5,235314,Insider,Weak Passwords,AI-based Detection,62
CBS-40,Brazil,2016,DDoS,Education,97.0,140812,Nation-state,Unpatched Software,VPN,71
CBS-41,Russia,2015,DDoS,Telecommunications,96.4,238356,Unknown,Zero-day,AI-based Detection,3
CBS-42,India,2021,SQL Injection,IT,98.1,826976,Nation-state,Zero-day,VPN,57
