ID,Company Name,Job Title,Level,Location,City,State,Company Size (By Category),Company Size,Min Company Size,Max Company Size,Industry,Rating,Salary Estimate,Min Salary,Max Salary,Avg Salary
0,Vera Institute Of Justice,Data Analyst,Mid,"New York, NY",New York,NY,Medium,201–500,201,500,Social Services,3.2,$37K-$66K,37000,66000,51500
1,Visiting Nurse Service Of New York,Data Quality Analyst,Mid,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Healthcare,3.8,$37K-$66K,37000,66000,51500
2,Squarespace,Senior Data Analyst,Senior,"New York, NY",New York,NY,Large,1001–5000,1001,5000,Technology,3.4,$37K-$66K,37000,66000,51500
3,Celerity,Data Analyst,Mid,"New York, NY",New York,NY,Medium,201–500,201,500,Technology,4.1,$37K-$66K,37000,66000,51500
4,Fanduel,Technical Data Analyst,Mid,"New York, NY",New York,NY,Medium,501–1000,501,1000,Other Industries,3.9,$37K-$66K,37000,66000,51500
5,Point72,Data Analyst,Mid,"New York, NY",New York,NY,Large,1001–5000,1001,5000,Financial,3.9,$37K-$66K,37000,66000,51500
6,Two Sigma,Data Analyst,Mid,"New York, NY",New York,NY,Large,1001–5000,1001,5000,Financial,4.4,$37K-$66K,37000,66000,51500
7,Gny Insurance Companies,Data Science Analyst,Mid,"New York, NY",New York,NY,Medium,201–500,201,500,Financial,3.7,$37K-$66K,37000,66000,51500
8,Dmgt,Data Analyst,Mid,"New York, NY",New York,NY,Large,5001–10000,5001,10000,Financial,4.0,$37K-$66K,37000,66000,51500
9,Riskified,Data Analyst,Mid,"New York, NY",New York,NY,Medium,501–1000,501,1000,Research,4.4,$37K-$66K,37000,66000,51500
10,Nyu Langone Health,Data Analyst,Mid,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Healthcare,4.0,$37K-$66K,37000,66000,51500
11,Montefiore Medical,Data Analyst,Mid,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Healthcare,3.7,$37K-$66K,37000,66000,51500
12,Known,Senior Data Analyst,Senior,"New York, NY",New York,NY,Medium,201–500,201,500,Media/Advertising,3.0,$37K-$66K,37000,66000,51500
13,Advisor Group,Financial Data Analyst,Mid,"Jersey City, NJ",Jersey City,NJ,Large,1001–5000,1001,5000,Financial,3.4,$37K-$66K,37000,66000,51500
14,Codegreen Solutions,Data Analyst,Mid,"New York, NY",New York,NY,Small,1–50,1,50,Other Industries,3.6,$37K-$66K,37000,66000,51500
15,Undertone,Data Analyst,Mid,"New York, NY",New York,NY,Medium,201–500,201,500,Media/Advertising,3.8,$37K-$66K,37000,66000,51500
16,Nystec,Healthcare/Clinical Analyst,Mid,"New York, NY",New York,NY,Small,51–200,51,200,Healthcare,3.8,$37K-$66K,37000,66000,51500
17,"Education Development Center, Inc.",Data Analyst,Mid,"New York, NY",New York,NY,Medium,501–1000,501,1000,Research,3.9,$37K-$66K,37000,66000,51500
18,Teachers Pay Teachers,Data Analyst,Mid,"New York, NY",New York,NY,Small,51–200,51,200,Technology,4.9,$37K-$66K,37000,66000,51500
19,Google,Data Science Analyst,Mid,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Technology,4.4,$37K-$66K,37000,66000,51500
20,Macquarie Group,Data Analyst,Mid,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Financial,3.3,$37K-$66K,37000,66000,51500
21,Andiamo,Data Analyst,Mid,"New York, NY",New York,NY,Medium,201–500,201,500,Other Industries,3.5,$37K-$66K,37000,66000,51500
22,Hearst Communications,Data Analyst,Mid,"New York, NY",New York,NY,Small,1–50,1,50,Media/Advertising,4.0,$37K-$66K,37000,66000,51500
23,Duolingo,BI Data Analyst,Mid,"New York, NY",New York,NY,Medium,201–500,201,500,Technology,5.0,$37K-$66K,37000,66000,51500
24,Ro,Data Analyst,Mid,"New York, NY",New York,NY,Small,51–200,51,200,Healthcare,4.8,$37K-$66K,37000,66000,51500
25,Endai,Junior Data Analyst,Junior,"New York, NY",New York,NY,Small,1–50,1,50,Media/Advertising,3.7,$37K-$66K,37000,66000,51500
26,Bluelabs,Data Analyst,Mid,"New York, NY",New York,NY,Small,1–50,1,50,Research,4.7,$37K-$66K,37000,66000,51500
27,Revel,Data Analyst,Mid,"Brooklyn, NY",Brooklyn,NY,Small,51–200,51,200,Professional Services,3.6,$46K-$87K,46000,87000,66500
28,Nallas Corporation,Data Analyst,Mid,"Jersey City, NJ",Jersey City,NJ,Small,1–50,1,50,Technology,3.6,$46K-$87K,46000,87000,66500
