Avg Salary,Mean of Avg Salary,Median of Avg,Median of Avg Salary,Max of Avg Salary,Standard Deviation of Avg Salary,,Rating,Mean of Rating,Median of Rating,Min of Rating,Max of Rating,Standard Deviation of Rating
51500,"72,072","68,500","33,500","150,000","23,670",,3.2,4,4,-1,5,1
51500,,,,,,,3.8,,,,,
51500,,,,,,,3.4,,,,,
51500,,,,,,,4.1,,,,,
51500,,,,,,,3.9,,,,,
51500,,,,,,,3.9,,,,,
51500,,,,,,,4.4,,,,,
51500,,,,,,,3.7,,,,,
51500,,,,,,,4.0,,,,,
51500,,,,,,,4.4,,,,,
51500,,,,,,,4.0,,,,,
51500,,,,,,,3.7,,,,,
51500,,,,,,,3.0,,,,,
51500,,,,,,,3.4,,,,,
51500,,,,,,,3.6,,,,,
51500,,,,,,,3.8,,,,,
51500,,,,,,,3.8,,,,,
51500,,,,,,,3.9,,,,,
51500,,,,,,,4.9,,,,,
51500,,,,,,,4.4,,,,,
51500,,,,,,,3.3,,,,,
51500,,,,,,,3.5,,,,,
51500,,,,,,,4.0,,,,,
51500,,,,,,,5.0,,,,,
51500,,,,,,,4.8,,,,,
51500,,,,,,,3.7,,,,,
51500,,,,,,,4.7,,,,,
66500,,,,,,,3.6,,,,,
66500,,,,,,,3.6,,,,,
66500,,,,,,,3.2,,,,,
66500,,,,,,,3.7,,,,,
66500,,,,,,,3.6,,,,,
66500,,,,,,,4.0,,,,,
66500,,,,,,,4.6,,,,,
66500,,,,,,,4.0,,,,,
66500,,,,,,,3.0,,,,,
66500,,,,,,,2.9,,,,,
66500,,,,,,,4.0,,,,,
66500,,,,,,,3.6,,,,,
66500,,,,,,,4.9,,,,,
66500,,,,,,,3.9,,,,,
66500,,,,,,,4.0,,,,,
66500,,,,,,,3.7,,,,,
66500,,,,,,,3.6,,,,,
66500,,,,,,,3.6,,,,,
66500,,,,,,,4.0,,,,,
66500,,,,,,,3.2,,,,,
66500,,,,,,,3.8,,,,,
66500,,,,,,,3.9,,,,,
69500,,,,,,,4.8,,,,,
69500,,,,,,,3.6,,,,,
69500,,,,,,,3.6,,,,,
69500,,,,,,,3.6,,,,,
69500,,,,,,,4.1,,,,,
69500,,,,,,,3.9,,,,,
69500,,,,,,,3.0,,,,,
69500,,,,,,,3.7,,,,,
69500,,,,,,,3.9,,,,,
69500,,,,,,,3.7,,,,,
69500,,,,,,,-1.0,,,,,
69500,,,,,,,3.7,,,,,
69500,,,,,,,3.6,,,,,
69500,,,,,,,4.1,,,,,
69500,,,,,,,3.5,,,,,
69500,,,,,,,3.7,,,,,
69500,,,,,,,4.0,,,,,
69500,,,,,,,5.0,,,,,
69500,,,,,,,3.3,,,,,
69500,,,,,,,4.1,,,,,
69500,,,,,,,4.0,,,,,
69500,,,,,,,1.0,,,,,
69500,,,,,,,3.1,,,,,
69500,,,,,,,4.5,,,,,
69500,,,,,,,3.4,,,,,
69000,,,,,,,3.6,,,,,
69000,,,,,,,4.1,,,,,
69000,,,,,,,4.4,,,,,
69000,,,,,,,3.8,,,,,
69000,,,,,,,3.2,,,,,
69000,,,,,,,-1.0,,,,,
69000,,,,,,,3.8,,,,,
69000,,,,,,,4.7,,,,,
69000,,,,,,,3.8,,,,,
69000,,,,,,,4.6,,,,,
69000,,,,,,,3.0,,,,,
69000,,,,,,,3.9,,,,,
69000,,,,,,,3.0,,,,,
69000,,,,,,,5.0,,,,,
69000,,,,,,,4.0,,,,,
69000,,,,,,,3.6,,,,,
69000,,,,,,,3.7,,,,,
69000,,,,,,,3.5,,,,,
69000,,,,,,,2.8,,,,,
69000,,,,,,,5.0,,,,,
69000,,,,,,,3.8,,,,,
69000,,,,,,,3.4,,,,,
69000,,,,,,,3.6,,,,,
