Employee_ID,Age,Experience_Years,Hours_Worked_Per_Week,Productivity_Score,Burnout_Score,Sleep_Hours_Per_Day,Work_Life_Balance_Rating,Remote_Setup_Satisfaction,Team_Communication_Effectiveness,Descriptive Stats Tables,
1,28,5,45,7,44,6,8,10,8,Mean,
2,41,11,40,8,58,5,9,3,9,Avg of Age,36
3,36,12,44,7,78,6,6,9,8,Avg of Experience_Years,9
4,32,16,41,9,71,5,9,6,8,Avg of Hours_Worked_Per_Week,42
5,29,2,43,7,69,7,6,9,5,Avg of Productivity_Score,6
6,42,20,45,7,59,9,3,7,9,Avg of Sleep_Hours_Per_Day,6
7,28,10,38,9,87,5,5,7,3,Avg of Work_Life_Balance_Rating,6
8,47,6,53,6,84,5,6,6,9,Avg of Burnout_Score,50
9,40,18,37,4,18,5,8,9,6,Avg of Remote_Setup_Satisfaction,6
10,44,15,36,3,43,8,3,8,9,Avg of Team_Communication_Effectiveness,6
11,32,19,48,8,85,7,3,6,6,Median,
12,32,7,46,7,44,5,4,9,7,MEDIAN of Age,36
13,45,12,45,8,10,9,4,4,6,MEDIAN of Experience_Years,9
14,42,12,45,5,49,8,8,3,8,MEDIAN of Hours_Worked_Per_Week,42
15,25,20,42,4,73,4,4,3,3,MEDIAN of Productivity_Score,6
16,29,2,38,3,31,7,7,5,3,MEDIAN of Sleep_Hours_Per_Day,6
17,45,7,42,6,69,8,6,4,4,MEDIAN of Work_Life_Balance_Rating,6
18,24,5,39,7,73,6,7,9,3,MEDIAN of Burnout_Score,47
19,43,6,47,6,81,4,9,3,9,MEDIAN of Remote_Setup_Satisfaction,6
20,42,10,41,6,20,4,5,8,4,MEDIAN of Team_Communication_Effectiveness,6
21,23,8,38,9,23,5,8,4,10,Min,
22,45,9,40,5,69,8,5,9,5,MIN of Age,22
23,33,17,44,7,39,9,5,10,4,MIN of Experience_Years,1
24,27,19,39,9,44,5,10,6,8,MIN of Hours_Worked_Per_Week,31
25,23,2,38,6,46,5,4,9,7,MIN of Productivity_Score,3
26,49,5,43,7,14,5,3,2,6,MIN of Sleep_Hours_Per_Day,4
27,42,14,43,9,87,5,8,9,6,MIN of Burnout_Score,10
28,22,8,40,10,35,8,3,4,8,MIN of Work_Life_Balance_Rating,2
29,33,6,40,4,71,6,9,9,4,MIN of Remote_Setup_Satisfaction,2
30,47,7,43,10,13,6,6,2,10,MIN of Team_Communication_Effectiveness,2
31,43,7,35,6,51,5,9,6,10,Max,
32,33,17,35,5,27,7,8,8,7,MAX of Age,49
33,46,4,38,6,49,6,7,4,4,MAX of Experience_Years,20
34,38,15,41,10,81,8,10,4,7,MAX of Hours_Worked_Per_Week,53
35,48,12,44,6,48,5,5,3,3,MAX of Productivity_Score,10
