Gender,Mental_Health_Status,Country,,,,,,,,,,
Female,Poor,Canada,,,,,,,,,,
Prefer not to say,Good,Australia,,,,,,,,,,
Male,Good,Germany,,,,,,,,,,
Prefer not to say,Moderate,Germany,,,,,,,,,,
Male,Poor,UK,,,,,,,,,,
Female,Poor,Brazil,,,,,,,,,,
Non-binary,Moderate,India,,,,,,,,,,
Male,Moderate,India,,,,,,,,,,
Prefer not to say,Poor,Canada,,,,,,,,,,
Female,Good,UK,,,,,,,,,,
Male,Poor,USA,,,,,,,,,,
Prefer not to say,Moderate,Canada,,,,,,,,,,
Prefer not to say,Good,UK,,,,,,,,,,
Prefer not to say,Good,Brazil,,,,,,,,,,
Male,Moderate,Brazil,,,,,,,,,,
Male,Moderate,Brazil,,,,,,,,,,
Male,Moderate,Brazil,,,,,,,,,,
Non-binary,Poor,Brazil,,,,,,,,,,
Male,Poor,UK,,,,,,,,,,
Male,Good,UK,,,,,,,,,,
Male,Moderate,Germany,,,,,,,,,,
Non-binary,Good,India,,,,,,,,,,
Male,Good,Australia,,,,,,,,,,
Prefer not to say,Good,Brazil,,,,,,,,,,
Male,Good,USA,,,,,,,,,,
Prefer not to say,Moderate,Australia,,,,,,,,,,
Prefer not to say,Good,UK,,,,,,,,,,
Prefer not to say,Moderate,USA,,,,,,,,,,
Non-binary,Moderate,USA,,,,,,,,,,
Non-binary,Poor,USA,,,,,,,,,,
Non-binary,Moderate,Germany,,,,,,,,,,
Male,Poor,UK,,,,,,,,,,
Prefer not to say,Moderate,USA,,,,,,,,,,
Non-binary,Moderate,Brazil,,,,,,,,,,
Non-binary,Moderate,Canada,,,,,,,,,,
Male,Poor,USA,,,,,,,,,,
Non-binary,Poor,Germany,,,,,,,,,,
Male,Good,Australia,,,,,,,,,,
Female,Poor,UK,,,,,,,,,,
Non-binary,Poor,Germany,,,,,,,,,,
Female,Poor,USA,,,,,,,,,,
Male,Poor,UK,,,,,,,,,,
Prefer not to say,Good,Canada,,,,,,,,,,
Non-binary,Poor,USA,,COUNTA of Gender,Gender,,,,,,,
Male,Moderate,Germany,,Mental_Health_Status,Female,Male,Non-binary,Prefer not to say,Grand Total,,,
Prefer not to say,Moderate,India,,Good,3,10,10,7,30,,,
Prefer not to say,Poor,Brazil,,Moderate,3,11,12,12,38,,,
Female,Poor,Australia,,Poor,8,9,10,5,32,,,
Male,Moderate,Germany,,Grand Total,14,30,32,24,100,,,
Prefer not to say,Moderate,UK,,,,,,,,,,
Non-binary,Good,USA,,COUNTA of Country,Country,,,,,,,
Non-binary,Moderate,Brazil,,Mental_Health_Status,Australia,Brazil,Canada,Germany,India,UK,USA,Grand Total
Female,Moderate,USA,,Good,5,3,2,3,6,6,5,30
Prefer not to say,Poor,UK,,Moderate,4,7,4,6,3,4,10,38
Male,Moderate,USA,,Poor,2,6,3,5,2,8,6,32
Non-binary,Good,India,,Grand Total,11,16,9,14,11,18,21,100
Prefer not to say,Moderate,Brazil,,,,,,,,,,
Prefer not to say,Poor,Brazil,,,,,,,,,,
Female,Poor,UK,,,,,,,,,,
Non-binary,Moderate,Australia,,,,,,,,,,
Non-binary,Poor,India,,,,,,,,,,
Male,Good,Germany,,,,,,,,,,
Non-binary,Good,USA,,,,,,,,,,
Male,Moderate,Canada,,,,,,,,,,
Non-binary,Moderate,USA,,,,,,,,,,
Female,Moderate,USA,,,,,,,,,,
Non-binary,Poor,Germany,,,,,,,,,,
Male,Good,USA,,,,,,,,,,
Male,Good,India,,,,,,,,,,
Female,Poor,India,,,,,,,,,,
Non-binary,Good,Brazil,,,,,,,,,,
Non-binary,Moderate,UK,,,,,,,,,,
Female,Moderate,Australia,,,,,,,,,,
Non-binary,Moderate,Canada,,,,,,,,,,
Non-binary,Good,USA,,,,,,,,,,
Male,Moderate,USA,,,,,,,,,,
Non-binary,Poor,Germany,,,,,,,,,,
Non-binary,Poor,UK,,,,,,,,,,
Female,Good,India,,,,,,,,,,
Female,Poor,Canada,,,,,,,,,,
Prefer not to say,Poor,Brazil,,,,,,,,,,
Male,Good,India,,,,,,,,,,
Non-binary,Moderate,UK,,,,,,,,,,
Non-binary,Moderate,Australia,,,,,,,,,,
Prefer not to say,Moderate,Brazil,,,,,,,,,,
Non-binary,Good,Australia,,,,,,,,,,
Male,Poor,Germany,,,,,,,,,,
Prefer not to say,Moderate,Germany,,,,,,,,,,
Male,Moderate,USA,,,,,,,,,,
Prefer not to say,Good,Australia,,,,,,,,,,
Prefer not to say,Moderate,UK,,,,,,,,,,
Female,Good,Canada,,,,,,,,,,
Male,Poor,Brazil,,,,,,,,,,
Non-binary,Good,India,,,,,,,,,,
Non-binary,Good,UK,,,,,,,,,,
Male,Good,UK,,,,,,,,,,
Non-binary,Good,Germany,,,,,,,,,,
Non-binary,Poor,Australia,,,,,,,,,,
Male,Poor,USA,,,,,,,,,,
Prefer not to say,Moderate,USA,,,,,,,,,,
